ts;F-Time [h];Glucose [g/L];Acetate [g/L];Phosphate [g/L];Peak 22.84 min;Peak 23.94 min;OD 600;OD standardabweichung;CDW Method 1[g/L];CDW standardabweichung;RF [mg/L];RF standardabweichung;;RF [mg/mL];cleaned CDW;CDW_calc
30.11.2021 16:08;0.03;19.60835043;0;9.879667922;0;139840;0.08915;0.00055;0.1;0.1;5.24137931;0.172413793;;0.005241379;0.094758621;0.02437361
01.12.2021 08:07;16.02;19.77666412;0.380753485;10.81357977;0;105170;1.1848;0.0094;0.05;0.05;41.86206897;0.103448276;;0.041862069;0.008137931;0.32392432
01.12.2021 08:50;16.73;20.87284103;0.856695341;11.87705764;0;62020;1.5083;0.0057;0.4;0.1;56.87931034;1.844827586;;0.05687931;0.34312069;0.41236922
01.12.2021 10:02;17.93;17.75184655;1.081349552;10.75449767;0;83966;2.4365;0.0565;0.85;0.05;84.4137931;6.551724138;;0.084413793;0.765586207;0.6661391
01.12.2021 10:32;18.43;20.24040137;1.567349351;12.21289275;0;0;2.7835;0.0485;0.7;0.1;180.2413793;14.17241379;;0.180241379;0.519758621;0.7610089
01.12.2021 11:02;18.93;19.22663209;1.34679878;11.28727313;0;83447;3.132;0.084;0.95;0.05;198;2.275862069;;0.198;0.752;0.8562888
01.12.2021 12:05;19.98;18.78582903;1.849293605;10.75605246;0;0;4.3435;0.5665;1.4;0.1;132.3965517;1.224137931;;0.132396552;1.267603448;1.1875129
01.12.2021 12:39;20.55;18.652111;1.389685848;10.64514395;0;113190;4.3675;0.0275;1.45;0.05;140.4310345;1.5;;0.140431034;1.309568966;1.1940745
01.12.2021 13:14;21.13;18.94209255;2.447459582;10.85970527;0;76474;4.732;0.051;1.7;0.2;159.0689655;0.482758621;;0.159068966;1.540931034;1.2937288
01.12.2021 14:23;22.28;18.60002316;2.742358467;10.49618458;75566;77264;5.5935;0.0755;1.9;0.1;204.4482759;2.310344828;;0.204448276;1.695551724;1.5292629
01.12.2021 14:59;22.88;18.32869993;2.936034214;10.52616787;104420;0;6.0225;0.1425;2.2;0.3;228.637931;4.982758621;;0.228637931;1.971362069;1.6465515
01.12.2021 15:27;23.35;18.18137687;3.175976499;10.58105254;115060;0;6.868;0.103;2.45;0.05;269.2068966;3.068965517;;0.269206897;2.180793103;1.8777112
01.12.2021 16:00;23.9;17.59286203;3.421551232;10.42656237;164560;0;7.043;0.107;2.35;0.45;276;9;;0.276;2.074;1.9255562
02.12.2021 08:15;40.15;0.749015353;3.498232988;11.12735827;861860;0;25.935;0.235;8.5;0.2;1165.517241;5.517241379;;1.165517241;7.334482759;7.090629
02.12.2021 09:07;41.02;0;2.501209229;10.7955093;869310;0;27.42;0.27;10;0.2;1231.37931;15.17241379;;1.23137931;8.76862069;7.496628
02.12.2021 09:55;41.82;0;2.267784491;10.36253025;748420;0;26.765;0.325;11.2;1.11E-13;1214.5;48.94827586;;1.2145;9.9855;7.317551
02.12.2021 10:40;42.57;0;1.854121417;10.16789296;588690;0;30.16;0.79;10.95;0.35;1611.724138;36.89655172;;1.611724138;9.338275862;8.245744
02.12.2021 11:20;43.23;0;1.563487101;10.33712068;664940;0;27.905;0.255;10.65;0.05;1379.482759;14.65517241;;1.379482759;9.270517241;7.629227
02.12.2021 12:05;43.98;0;0.577358105;10.72182155;454160;0;30.335;0.425;11.5;0.2;1487.586207;49.65517241;;1.487586207;10.01241379;8.293589
02.12.2021 12:56;44.83;0;0.590151809;10.3655794;390850;0;31.865;0.855;11.8;0.2;1505.172414;6.896551724;;1.505172414;10.29482759;8.711891
02.12.2021 13:31;45.42;0;1.213873007;10.25581006;373360;0;32.58;0.34;12;0;1521.37931;18.62068966;;1.52137931;10.47862069;8.907372
02.12.2021 14:23;46.28;0;1.179434611;11.30827439;339850;0;33.7;0.78;12.65;0.15;1522.413793;44.13793103;;1.522413793;11.12758621;9.21358
02.12.2021 15:11;47.08;0;0.408674334;11.70568005;275600;0;34.565;0.475;11.65;0.35;1553.965517;28.44827586;;1.553965517;10.09603448;9.450071
03.12.2021 08:33;64.45;0;0;9.094592781;0;0;36.22;0.65;;;2197.241379;65.17241379;;2.197241379;;9.902548
